question,falcon,answer,verdict,time
What is the capital city of the United Arab Emirates?,The capital city of the United Arab Emirates is Abu Dhabi.,The capital city of the United Arab Emirates is Abu Dhabi.,Correct.,0.3850839138031006
"Which country is known as the ""Land of the Two Holy Mosques""?","Saudi Arabia is often referred to as the ""Land of the Two Holy Mosques"" because it contains the cities of Mecca and Medina, both of which are holy sites for Muslims.","Saudi Arabia is often referred to as the ""Land of the Two Holy Mosques"" because it contains the cities of Mecca and Medina, both of which are holy sites for Muslims.",Correct.,0.705359935760498
Who is the president of UAE?,"The current President of the United Arab Emirates (UAE) is His Highness Sheikh Mohammed bin Zayed Al Nahyan, also known as MbZ. He has been in office since 2004.",The President of the United Arab Emirates is His Highness Sheikh Mohamed bin Zayed Al Nahyan.,Wrong.,0.6675219535827637
Who is the president of UAE?,"The current President of the United Arab Emirates (UAE) is His Highness Sheikh Mohammed bin Zayed Al Nahyan, also known as MbZ. He has been in office since 2004.",The President of the United Arab Emirates is His Highness Sheikh Mohamed bin Zayed Al Nahyan.,Wrong.,0.6675219535827637
Who is the minister of AI in UAE?,Sheikh Nahyan bin Mubarak Al Nahyan is the Minister of Artificial Intelligence in the United Arab Emirates.,The Minister of State for Artificial Intelligence in the UAE is Omar Sultan Al Olama.,Wrong.,0.44524502754211426
Who is the minister of AI in UAE?,Sheikh Nahyan bin Mubarak Al Nahyan is the Minister of Artificial Intelligence in the United Arab Emirates.,The Minister of State for Artificial Intelligence in the UAE is Omar Sultan Al Olama.,Wrong.,0.44524502754211426
"What is the name of the world's tallest building, and in which city is it located?","The Burj Khalifa is the world's tallest building, standing at 828 meters (2,717 feet). It is located in Dubai, United Arab Emirates.","The Burj Khalifa is the world's tallest building, standing at 828 meters (2,717 feet). It is located in Dubai, United Arab Emirates.",Correct.,0.7015461921691895
What major natural resource is the Middle East particularly known for?,"The Middle East is particularly known for its vast reserves of oil, which is a major component of global energy production. This region accounts for a significant portion of the world's total oil supply.","The Middle East is particularly known for its vast reserves of oil, which is a major component of global energy production. This region accounts for a significant portion of the world's total oil supply.",Correct.,0.7345790863037109
Which river is considered the longest in the world?,"The Nile River is the longest river in the world, stretching approximately 4,135 miles (6,650 kilometers). It flows northward through northeastern Africa and empties into the Mediterranean Sea.","The Nile River is the longest river in the world, stretching approximately 4,135 miles (6,650 kilometers). It flows northward through northeastern Africa and empties into the Mediterranean Sea.",Correct.,0.7694098949432373
"Which city is known as the ""City of Gold"" and is a major business hub in the Middle East?","Dubai is known as the ""City of Gold"" and is a major business hub in the Middle East, recognized for its luxury shopping and modern architecture.","Dubai is known as the ""City of Gold"" and is a major business hub in the Middle East, recognized for its luxury shopping and modern architecture.",Correct.,0.6311030387878418
What is the official language of the United Arab Emirates?,The official language of the United Arab Emirates is Arabic. English is widely spoken throughout the country due to its economic importance and expatriate population.,The official language of the United Arab Emirates is Arabic. English is widely spoken throughout the country due to its economic importance and expatriate population.,Correct.,0.5785999298095703
Which Middle Eastern country is home to the ancient city of Petra?,The ancient city of Petra is located in Jordan. It was established as the capital of the Nabatean Kingdom around the 4th century BC.,The ancient city of Petra is located in Jordan. It was established as the capital of the Nabatean Kingdom around the 4th century BC.,Correct.,0.6200101375579834
What is the name of the currency used in Saudi Arabia?,The currency used in Saudi Arabia is the Saudi Riyal (SAR). It is pegged to the US Dollar at a fixed rate.,The currency used in Saudi Arabia is the Saudi Riyal (SAR). It is pegged to the US Dollar at a fixed rate.,Correct.,0.5800669193267822
